"sp","value_Fmax","p_change","qual_change"
"acanthina monodon",0.001,0.0143567418616763,"Less than 5% change"
"acanthina monodon",0.002,0.0253423278232079,"Less than 5% change"
"acanthina monodon",0.003,0.0344958171764276,"Less than 5% change"
"acanthina monodon",0.004,0.0424395646849929,"Less than 5% change"
"acanthina monodon",0.005,0.0495034867125987,"Less than 5% change"
"acanthina monodon",0.006,0.0558888834167659,"Less than 5% change"
"acanthina monodon",0.007,0.0617298735311467,"Less than 5% change"
"acanthina monodon",0.008,0.0671214028507894,"Less than 5% change"
"acanthina monodon",0.009,0.0721337426491164,"Less than 5% change"
"acanthina monodon",0.01,0.0768207038864821,"Less than 5% change"
"acanthocyclus gayi",0.001,0.0107521917933617,"Less than 5% change"
"acanthocyclus gayi",0.002,0.0189480650285567,"Less than 5% change"
"acanthocyclus gayi",0.003,0.0257529051492345,"Less than 5% change"
"acanthocyclus gayi",0.004,0.0316386547218661,"Less than 5% change"
"acanthocyclus gayi",0.005,0.036855834532501,"Less than 5% change"
"acanthocyclus gayi",0.006,0.0415574753066084,"Less than 5% change"
"acanthocyclus gayi",0.007,0.0458456319966105,"Less than 5% change"
"acanthocyclus gayi",0.008,0.0497926076435062,"Less than 5% change"
"acanthocyclus gayi",0.009,0.0534519485371421,"Less than 5% change"
"acanthocyclus gayi",0.01,0.0568646783757343,"Less than 5% change"
"acanthocyclus hassleri",0.001,0.0107319569439213,"Less than 5% change"
"acanthocyclus hassleri",0.002,0.018912476883326,"Less than 5% change"
"acanthocyclus hassleri",0.003,0.0257046538252759,"Less than 5% change"
"acanthocyclus hassleri",0.004,0.0315795314652201,"Less than 5% change"
"acanthocyclus hassleri",0.005,0.0367871488779592,"Less than 5% change"
"acanthocyclus hassleri",0.006,0.0414802402696424,"Less than 5% change"
"acanthocyclus hassleri",0.007,0.0457606615834161,"Less than 5% change"
"acanthocyclus hassleri",0.008,0.0497005741089573,"Less than 5% change"
"acanthocyclus hassleri",0.009,0.0533534186789808,"Less than 5% change"
"acanthocyclus hassleri",0.01,0.0567601378840266,"Less than 5% change"
"acanthopleura echinata",0.001,-0.00163170637184074,"Less than 5% change"
"acanthopleura echinata",0.002,-0.00302575386533777,"Less than 5% change"
"acanthopleura echinata",0.003,-0.00431838694806563,"Less than 5% change"
"acanthopleura echinata",0.004,-0.00555430728446105,"Less than 5% change"
"acanthopleura echinata",0.005,-0.00675310647236804,"Less than 5% change"
"acanthopleura echinata",0.006,-0.00792475564517225,"Less than 5% change"
"acanthopleura echinata",0.007,-0.00907482699548101,"Less than 5% change"
"acanthopleura echinata",0.008,-0.0102066438537274,"Less than 5% change"
"acanthopleura echinata",0.009,-0.0113222886525932,"Less than 5% change"
"acanthopleura echinata",0.01,-0.0124231203057046,"Less than 5% change"
"chaetopleura peruviana",0.001,0.0210641914640819,"Less than 5% change"
"chaetopleura peruviana",0.002,0.0372145026601878,"Less than 5% change"
"chaetopleura peruviana",0.003,0.0507071710441842,"Less than 5% change"
"chaetopleura peruviana",0.004,0.0624500316174226,"Less than 5% change"
"chaetopleura peruviana",0.005,0.0729225432982927,"Less than 5% change"
"chaetopleura peruviana",0.006,0.082416378070671,"Less than 5% change"
"chaetopleura peruviana",0.007,0.0911253900701015,"Less than 5% change"
"chaetopleura peruviana",0.008,0.0991865336167574,"Less than 5% change"
"chaetopleura peruviana",0.009,0.106700998901843,"Less than 5% change"
"chaetopleura peruviana",0.01,0.11374616343538,"Less than 5% change"
"chiton  cummingsi",0.001,0.120359570885498,"Less than 5% change"
"chiton  cummingsi",0.002,0.213926822382771,"Less than 5% change"
"chiton  cummingsi",0.003,0.29312917336537,"Less than 5% change"
"chiton  cummingsi",0.004,0.36291936638988,"Less than 5% change"
"chiton  cummingsi",0.005,0.425892168913511,"Less than 5% change"
"chiton  cummingsi",0.006,0.483615468940091,"Less than 5% change"
"chiton  cummingsi",0.007,0.53712547064777,"Less than 5% change"
"chiton  cummingsi",0.008,0.587150799551184,"Less than 5% change"
"chiton  cummingsi",0.009,0.634227726745107,"Less than 5% change"
"chiton  cummingsi",0.01,0.678765039124785,"Less than 5% change"
"chiton  granosus",0.001,0.0614627570919346,"Less than 5% change"
"chiton  granosus",0.002,0.108826712696408,"Less than 5% change"
"chiton  granosus",0.003,0.148516553903133,"Less than 5% change"
"chiton  granosus",0.004,0.183133075088482,"Less than 5% change"
"chiton  granosus",0.005,0.21405536520287,"Less than 5% change"
"chiton  granosus",0.006,0.242124927540521,"Less than 5% change"
"chiton  granosus",0.007,0.267902424607636,"Less than 5% change"
"chiton  granosus",0.008,0.291784768407144,"Less than 5% change"
"chiton  granosus",0.009,0.314065738986358,"Less than 5% change"
"chiton  granosus",0.01,0.334970328249629,"Less than 5% change"
"chiton  latus",0.001,0.10651685323293,"Less than 5% change"
"chiton  latus",0.002,0.189545846167394,"Less than 5% change"
"chiton  latus",0.003,0.260010076194428,"Less than 5% change"
"chiton  latus",0.004,0.322252333102524,"Less than 5% change"
"chiton  latus",0.005,0.378543342584647,"Less than 5% change"
"chiton  latus",0.006,0.430252927644204,"Less than 5% change"
"chiton  latus",0.007,0.478285137460599,"Less than 5% change"
"chiton  latus",0.008,0.523274930032991,"Less than 5% change"
"chiton  latus",0.009,0.565689183465423,"Less than 5% change"
"chiton  latus",0.01,0.605883504300686,"Less than 5% change"
"lottia  orbignyi",0.001,0.11381392658496,"Less than 5% change"
"lottia  orbignyi",0.002,0.202394011071738,"Less than 5% change"
"lottia  orbignyi",0.003,0.277457758742172,"Less than 5% change"
"lottia  orbignyi",0.004,0.343670231061388,"Less than 5% change"
"lottia  orbignyi",0.005,0.403473433299362,"Less than 5% change"
"lottia  orbignyi",0.006,0.45834191521259,"Less than 5% change"
"lottia  orbignyi",0.007,0.509249621994079,"Less than 5% change"
"lottia  orbignyi",0.008,0.556881062954195,"Less than 5% change"
"lottia  orbignyi",0.009,0.601739832657278,"Less than 5% change"
"lottia  orbignyi",0.01,0.644209679955288,"Less than 5% change"
"concholepas concholepas",0.001,0.00906790797559065,"Less than 5% change"
"concholepas concholepas",0.002,0.0159620633176205,"Less than 5% change"
"concholepas concholepas",0.003,0.0216721336950831,"Less than 5% change"
"concholepas concholepas",0.004,0.0265994246392509,"Less than 5% change"
"concholepas concholepas",0.005,0.0309571817073584,"Less than 5% change"
"concholepas concholepas",0.006,0.0348757785585185,"Less than 5% change"
"concholepas concholepas",0.007,0.0384422224537273,"Less than 5% change"
"concholepas concholepas",0.008,0.0417181917325316,"Less than 5% change"
"concholepas concholepas",0.009,0.0447493859268011,"Less than 5% change"
"concholepas concholepas",0.01,0.0475708302497324,"Less than 5% change"
"enoplochiton  niger",0.001,-0.021281466862999,"Less than 5% change"
"enoplochiton  niger",0.002,-0.0376737869126176,"Less than 5% change"
"enoplochiton  niger",0.003,-0.0514760663701375,"Less than 5% change"
"enoplochiton  niger",0.004,-0.0635938321622787,"Less than 5% change"
"enoplochiton  niger",0.005,-0.0744980221941693,"Less than 5% change"
"enoplochiton  niger",0.006,-0.0844716788633293,"Less than 5% change"
"enoplochiton  niger",0.007,-0.0937010737333877,"Less than 5% change"
"enoplochiton  niger",0.008,-0.102316730539964,"Less than 5% change"
"enoplochiton  niger",0.009,-0.110414429295036,"Less than 5% change"
"enoplochiton  niger",0.01,-0.118066990634524,"Less than 5% change"
"fissurella  costata",0.001,-0.0640417089663337,"Less than 5% change"
"fissurella  costata",0.002,-0.113561691929798,"Less than 5% change"
"fissurella  costata",0.003,-0.155310331131719,"Less than 5% change"
"fissurella  costata",0.004,-0.191972695348663,"Less than 5% change"
"fissurella  costata",0.005,-0.224954668413091,"Less than 5% change"
"fissurella  costata",0.006,-0.255105625077634,"Less than 5% change"
"fissurella  costata",0.007,-0.282986915879835,"Less than 5% change"
"fissurella  costata",0.008,-0.308993286912429,"Less than 5% change"
"fissurella  costata",0.009,-0.333415285417826,"Less than 5% change"
"fissurella  costata",0.01,-0.356474388581218,"Less than 5% change"
"fissurella  crassa",0.001,-0.0420692245945875,"Less than 5% change"
"fissurella  crassa",0.002,-0.074580911844857,"Less than 5% change"
"fissurella  crassa",0.003,-0.101989369690014,"Less than 5% change"
"fissurella  crassa",0.004,-0.126062437697272,"Less than 5% change"
"fissurella  crassa",0.005,-0.147724322641685,"Less than 5% change"
"fissurella  crassa",0.006,-0.167532725125141,"Less than 5% change"
"fissurella  crassa",0.007,-0.185855870757079,"Less than 5% change"
"fissurella  crassa",0.008,-0.202952488290975,"Less than 5% change"
"fissurella  crassa",0.009,-0.219012879864378,"Less than 5% change"
"fissurella  crassa",0.01,-0.234182022314799,"Less than 5% change"
"fissurella  cummingi",0.001,-0.0373055597715943,"Less than 5% change"
"fissurella  cummingi",0.002,-0.0661188929843348,"Less than 5% change"
"fissurella  cummingi",0.003,-0.0904034969986034,"Less than 5% change"
"fissurella  cummingi",0.004,-0.111730435118251,"Less than 5% change"
"fissurella  cummingi",0.005,-0.130920363266174,"Less than 5% change"
"fissurella  cummingi",0.006,-0.148468189313522,"Less than 5% change"
"fissurella  cummingi",0.007,-0.164700518776795,"Less than 5% change"
"fissurella  cummingi",0.008,-0.179846743637224,"Less than 5% change"
"fissurella  cummingi",0.009,-0.194075530481486,"Less than 5% change"
"fissurella  cummingi",0.01,-0.207515336210529,"Less than 5% change"
"fissurella  limbata",0.001,0.127683156322678,"Less than 5% change"
"fissurella  limbata",0.002,0.219120222958247,"Less than 5% change"
"fissurella  limbata",0.003,0.29233431856357,"Less than 5% change"
"fissurella  limbata",0.004,0.3541204269075,"Less than 5% change"
"fissurella  limbata",0.005,0.407909722062638,"Less than 5% change"
"fissurella  limbata",0.006,0.455717662284605,"Less than 5% change"
"fissurella  limbata",0.007,0.498845582436269,"Less than 5% change"
"fissurella  limbata",0.008,0.538190415577033,"Less than 5% change"
"fissurella  limbata",0.009,0.574400731964997,"Less than 5% change"
"fissurella  limbata",0.01,0.607963083492735,"Less than 5% change"
"fissurella  maxima",0.001,-0.0312039858282209,"Less than 5% change"
"fissurella  maxima",0.002,-0.0552912470690337,"Less than 5% change"
"fissurella  maxima",0.003,-0.0755897348851731,"Less than 5% change"
"fissurella  maxima",0.004,-0.0934163880030314,"Less than 5% change"
"fissurella  maxima",0.005,-0.109458334318624,"Less than 5% change"
"fissurella  maxima",0.006,-0.124129592608979,"Less than 5% change"
"fissurella  maxima",0.007,-0.137703193115624,"Less than 5% change"
"fissurella  maxima",0.008,-0.150370785596698,"Less than 5% change"
"fissurella  maxima",0.009,-0.162273214868236,"Less than 5% change"
"fissurella  maxima",0.01,-0.173517702469694,"Less than 5% change"
"fissurella  picta",0.001,-0.035713375558788,"Less than 5% change"
"fissurella  picta",0.002,-0.0632940185552711,"Less than 5% change"
"fissurella  picta",0.003,-0.0865393196057052,"Less than 5% change"
"fissurella  picta",0.004,-0.106953919813169,"Less than 5% change"
"fissurella  picta",0.005,-0.125323572889646,"Less than 5% change"
"fissurella  picta",0.006,-0.142122043184201,"Less than 5% change"
"fissurella  picta",0.007,-0.157661932158859,"Less than 5% change"
"fissurella  picta",0.008,-0.172162766382022,"Less than 5% change"
"fissurella  picta",0.009,-0.185785940202066,"Less than 5% change"
"fissurella  picta",0.01,-0.198654359967676,"Less than 5% change"
"fissurella  puhlcra",0.001,-0.0357133755588324,"Less than 5% change"
"fissurella  puhlcra",0.002,-0.0632940185552933,"Less than 5% change"
"fissurella  puhlcra",0.003,-0.0865393196057274,"Less than 5% change"
"fissurella  puhlcra",0.004,-0.106953919813191,"Less than 5% change"
"fissurella  puhlcra",0.005,-0.125323572889668,"Less than 5% change"
"fissurella  puhlcra",0.006,-0.142122043184223,"Less than 5% change"
"fissurella  puhlcra",0.007,-0.157661932158881,"Less than 5% change"
"fissurella  puhlcra",0.008,-0.172162766382045,"Less than 5% change"
"fissurella  puhlcra",0.009,-0.185785940202088,"Less than 5% change"
"fissurella  puhlcra",0.01,-0.198654359967698,"Less than 5% change"
"heliaster helianthus",0.001,0.00877932873739606,"Less than 5% change"
"heliaster helianthus",0.002,0.0154565262778572,"Less than 5% change"
"heliaster helianthus",0.003,0.0209882580517018,"Less than 5% change"
"heliaster helianthus",0.004,0.0257625760025526,"Less than 5% change"
"heliaster helianthus",0.005,0.0299857268071468,"Less than 5% change"
"heliaster helianthus",0.006,0.0337838250377587,"Less than 5% change"
"heliaster helianthus",0.007,0.0372410461368933,"Less than 5% change"
"heliaster helianthus",0.008,0.0404170672283266,"Less than 5% change"
"heliaster helianthus",0.009,0.0433561090260604,"Less than 5% change"
"heliaster helianthus",0.01,0.0460920659918429,"Less than 5% change"
"scurria  araucana",0.001,0.113987375086988,"Less than 5% change"
"scurria  araucana",0.002,0.202711341704043,"Less than 5% change"
"scurria  araucana",0.003,0.277900677899212,"Less than 5% change"
"scurria  araucana",0.004,0.344225739999371,"Less than 5% change"
"scurria  araucana",0.005,0.404131591580792,"Less than 5% change"
"scurria  araucana",0.006,0.459094762499079,"Less than 5% change"
"scurria  araucana",0.007,0.510090577662559,"Less than 5% change"
"scurria  araucana",0.008,0.557804558572306,"Less than 5% change"
"scurria  araucana",0.009,0.602741071290858,"Less than 5% change"
"scurria  araucana",0.01,0.64528447033354,"Less than 5% change"
"scurria  ceciliana",0.001,0.116754235837324,"Less than 5% change"
"scurria  ceciliana",0.002,0.207587232185014,"Less than 5% change"
"scurria  ceciliana",0.003,0.284527001661106,"Less than 5% change"
"scurria  ceciliana",0.004,0.352365304408431,"Less than 5% change"
"scurria  ceciliana",0.005,0.413611722310914,"Less than 5% change"
"scurria  ceciliana",0.006,0.469782229926818,"Less than 5% change"
"scurria  ceciliana",0.007,0.521878475454063,"Less than 5% change"
"scurria  ceciliana",0.008,0.570604640252736,"Less than 5% change"
"scurria  ceciliana",0.009,0.616478916191587,"Less than 5% change"
"scurria  ceciliana",0.01,0.659896254653281,"Less than 5% change"
"scurria  plana",0.001,0.114868687346381,"Less than 5% change"
"scurria  plana",0.002,0.204260919263,"Less than 5% change"
"scurria  plana",0.003,0.280001875799285,"Less than 5% change"
"scurria  plana",0.004,0.346801215638459,"Less than 5% change"
"scurria  plana",0.005,0.407124965968686,"Less than 5% change"
"scurria  plana",0.006,0.462462510760608,"Less than 5% change"
"scurria  plana",0.007,0.513797773477354,"Less than 5% change"
"scurria  plana",0.008,0.561822382778843,"Less than 5% change"
"scurria  plana",0.009,0.607045236981318,"Less than 5% change"
"scurria  plana",0.01,0.649854168889674,"Less than 5% change"
"scurria scurra",0.001,-6.98217421437312,"Decrease"
"scurria scurra",0.002,-12.0892702159152,"Decrease"
"scurria scurra",0.003,-16.2419684174516,"Decrease"
"scurria scurra",0.004,-19.7906225052234,"Decrease"
"scurria scurra",0.005,-22.9133224012068,"Decrease"
"scurria scurra",0.006,-25.7152401715782,"Decrease"
"scurria scurra",0.007,-28.2645966249266,"Decrease"
"scurria scurra",0.008,-30.6086054507397,"Decrease"
"scurria scurra",0.009,-32.7815344267999,"Decrease"
"scurria scurra",0.01,-34.809179951007,"Decrease"
"scurria variabilis",0.001,0.1271156613458,"Less than 5% change"
"scurria variabilis",0.002,0.22586065125576,"Less than 5% change"
"scurria variabilis",0.003,0.309379244270303,"Less than 5% change"
"scurria variabilis",0.004,0.38291530738348,"Less than 5% change"
"scurria variabilis",0.005,0.44921837395111,"Less than 5% change"
"scurria variabilis",0.006,0.509950965029393,"Less than 5% change"
"scurria variabilis",0.007,0.566212443091008,"Less than 5% change"
"scurria variabilis",0.008,0.618776208297867,"Less than 5% change"
"scurria variabilis",0.009,0.668211710223621,"Less than 5% change"
"scurria variabilis",0.01,0.714953168883992,"Less than 5% change"
"scurria viridula",0.001,0.143110707981586,"Less than 5% change"
"scurria viridula",0.002,0.254083061869004,"Less than 5% change"
"scurria viridula",0.003,0.347780071491233,"Less than 5% change"
"scurria viridula",0.004,0.430141052760091,"Less than 5% change"
"scurria viridula",0.005,0.504284369775077,"Less than 5% change"
"scurria viridula",0.006,0.572097668907534,"Less than 5% change"
"scurria viridula",0.007,0.634830350686055,"Less than 5% change"
"scurria viridula",0.008,0.693362058491864,"Less than 5% change"
"scurria viridula",0.009,0.748340892590549,"Less than 5% change"
"scurria viridula",0.01,0.800261312728323,"Less than 5% change"
"scurria zebrina",0.001,0.146018457996844,"Less than 5% change"
"scurria zebrina",0.002,0.259192972926914,"Less than 5% change"
"scurria zebrina",0.003,0.354713441760168,"Less than 5% change"
"scurria zebrina",0.004,0.43864976783079,"Less than 5% change"
"scurria zebrina",0.005,0.514188990249997,"Less than 5% change"
"scurria zebrina",0.006,0.583260407308428,"Less than 5% change"
"scurria zebrina",0.007,0.647141038064825,"Less than 5% change"
"scurria zebrina",0.008,0.706730000272882,"Less than 5% change"
"scurria zebrina",0.009,0.762689759081314,"Less than 5% change"
"scurria zebrina",0.01,0.815525742304679,"Less than 5% change"
"siphonaria lesoni",0.001,0.104461179837956,"Less than 5% change"
"siphonaria lesoni",0.002,0.185932463701954,"Less than 5% change"
"siphonaria lesoni",0.003,0.255111058162294,"Less than 5% change"
"siphonaria lesoni",0.004,0.31624785716684,"Less than 5% change"
"siphonaria lesoni",0.005,0.371564637877198,"Less than 5% change"
"siphonaria lesoni",0.006,0.422401240750281,"Less than 5% change"
"siphonaria lesoni",0.007,0.469641674929888,"Less than 5% change"
"siphonaria lesoni",0.008,0.513906674401188,"Less than 5% change"
"siphonaria lesoni",0.009,0.555652567253562,"Less than 5% change"
"siphonaria lesoni",0.01,0.595226867295451,"Less than 5% change"
"stichaster striatus",0.001,0.0145058872676129,"Less than 5% change"
"stichaster striatus",0.002,0.0256070658033014,"Less than 5% change"
"stichaster striatus",0.003,0.0348577658042082,"Less than 5% change"
"stichaster striatus",0.004,0.0428865098480724,"Less than 5% change"
"stichaster striatus",0.005,0.050026497978406,"Less than 5% change"
"stichaster striatus",0.006,0.0564810414023675,"Less than 5% change"
"stichaster striatus",0.007,0.0623856032520909,"Less than 5% change"
"stichaster striatus",0.008,0.0678360839909908,"Less than 5% change"
"stichaster striatus",0.009,0.0729034634834091,"Less than 5% change"
"stichaster striatus",0.01,0.0776420967512959,"Less than 5% change"
"tegula atra",0.001,17.6367333994707,"Increase"
"tegula atra",0.002,31.5404567517169,"Increase"
"tegula atra",0.003,43.4007020308898,"Increase"
"tegula atra",0.004,53.9006783353871,"Increase"
"tegula atra",0.005,63.4030896168419,"Increase"
"tegula atra",0.006,72.1297077931681,"Increase"
"tegula atra",0.007,80.2286545147288,"Increase"
"tegula atra",0.008,87.8050697376508,"Increase"
"tegula atra",0.009,94.9369909713373,"Increase"
"tegula atra",0.01,101.684354401094,"Increase"
"Tonicia lineolata",0.001,-0.274137686102927,"Less than 5% change"
"Tonicia lineolata",0.002,-0.484294096228588,"Less than 5% change"
"Tonicia lineolata",0.003,-0.65994828257333,"Less than 5% change"
"Tonicia lineolata",0.004,-0.812929582227917,"Less than 5% change"
"Tonicia lineolata",0.005,-0.949471413134129,"Less than 5% change"
"Tonicia lineolata",0.006,-1.07335855865346,"Less than 5% change"
"Tonicia lineolata",0.007,-1.18710240684016,"Less than 5% change"
"Tonicia lineolata",0.008,-1.29247472952621,"Less than 5% change"
"Tonicia lineolata",0.009,-1.39078305401399,"Less than 5% change"
"Tonicia lineolata",0.01,-1.48302619202145,"Less than 5% change"
"tonicia  chilensis",0.001,-0.274137686102927,"Less than 5% change"
"tonicia  chilensis",0.002,-0.484294096228588,"Less than 5% change"
"tonicia  chilensis",0.003,-0.659948282573308,"Less than 5% change"
"tonicia  chilensis",0.004,-0.812929582227917,"Less than 5% change"
"tonicia  chilensis",0.005,-0.949471413134118,"Less than 5% change"
"tonicia  chilensis",0.006,-1.0733585586534,"Less than 5% change"
